File	Left Context	Hit	Right Context
2020-05-02_02-24-22_UTC.txt	America the Beautiful \\ #shoshonefalls #americathebeautiful  #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-03_17-54-30_UTC.txt	don’t give up!) \\ #marriage #birthdayboy #flintandtinder  #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-05_04-14-49_UTC.txt	these days, until then, goodnight ✨ \\ #celtictattoo #trinity #celticknot #redhead #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-07_04-34-31_UTC.txt	a way to help. Comment ideas below:) \\ #peopleofwalmart #selfrespect #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-07_18-17-19_UTC.txt	health from you. Don’t let them. \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-09_04-52-58_UTC.txt	That is all, goodnight ✨ \\ #goodwillfinds #blackdress #thrifting #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-11_03-38-25_UTC.txt	allowed wherever you live!! \\ #mothersday #infertility #pregnancy  #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-14_03-53-27_UTC.txt	to be a fun summer. ✨ \\ #summerdays #sunset #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-19_20-13-56_UTC.txt	the future:) \\ #grandmashouse #paintbynumber #brasslamp #homestead #heritage #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-22_02-46-00_UTC.txt	do the dishes 🖤 \\ #muledeer #deerheadmount #pennants #kitchendecor #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-23_00-08-54_UTC.txt	down to measuring spoons. 🖤 \\ #measuringspoons #brass #kitchen #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-24_03-27-18_UTC.txt	see that ugly thing. \\ #cedargrove #pnw #pinetrees #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-25_01-19-22_UTC.txt	some sunshine here today ☀️ \\ #houseplant #tropicalplants #dartboard  #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-26_03-40-21_UTC.txt	weekend perhaps! \\ #smithandwesson #mandpshield #concealedcarry #9mm #f100 #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-28_00-22-38_UTC.txt	one anymore though) \\ #divideandconquer #johnjamesaudubon #birdsofprey #hawk #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
